SlNo,SIGNAL_NAME,SIGNAL_STATUS,SIGNAL_TIME
8342,15TPR,Down,05/22/2025 00:49:11:453
8343,UD_GDRA.BPAC_VPR1,Down,05/22/2025 00:49:13:328
8344,UD_GDRA.BPAC_VPR2,Down,05/22/2025 00:49:13:437
8345,UD_GDRA.BPAC_VPR,Down,05/22/2025 00:49:14:781
8346,H02TPR,Down,05/22/2025 00:49:17:421
8347,C02TPR,Down,05/22/2025 00:49:23:218
8348,OMCTPR,Up,05/22/2025 00:49:28:703
8349,OMTPR,Up,05/22/2025 00:49:28:796
8350,104BTPR,Up,05/22/2025 00:49:39:515
8351,102BTPR,Up,05/22/2025 00:49:43:671
8352,03_13TPR,Up,05/22/2025 00:49:53:796
8353,15TPR,Up,05/22/2025 00:49:59:703
8354,H02TPR,Up,05/22/2025 00:50:05:546
8355,C02TPR,Up,05/22/2025 00:50:10:531
8356,UD_STBD.BPAC_VPR1,Down,05/22/2025 00:52:38:390
8357,UD_STBD.BPAC_VPR2,Down,05/22/2025 00:52:39:234
8358,C01TPR,Down,05/22/2025 01:29:19:218
8359,H01TPR,Down,05/22/2025 01:29:30:531
8360,16TPR,Down,05/22/2025 01:29:43:984
8361,04_14TPR,Down,05/22/2025 01:29:57:015
8362,101ATPR,Down,05/22/2025 01:30:19:171
8363,103BTPR,Down,05/22/2025 01:30:39:078
8364,111CTPR,Down,05/22/2025 01:31:04:828
8365,111CTPR,Up,05/22/2025 01:31:04:843
8366,111CTPR,Down,05/22/2025 01:31:04:859
8367,C01TPR,Up,05/22/2025 01:31:12:000
8368,H01TPR,Up,05/22/2025 01:31:27:468
8369,UD_STBD.BPAC_VPR2,Up,05/22/2025 01:31:38:687
8370,UD_STBD.BPAC_VPR1,Up,05/22/2025 01:31:38:937
8371,16TPR,Up,05/22/2025 01:31:43:250
8372,111BTPR,Down,05/22/2025 01:31:47:406
8373,OMATPR,Down,05/22/2025 01:32:10:781
8374,OMTPR,Down,05/22/2025 01:32:10:781
8375,04_14TPR,Up,05/22/2025 01:32:13:187
8376,101ATPR,Up,05/22/2025 01:32:43:937
8377,OMBTPR,Down,05/22/2025 01:33:16:531
8378,103BTPR,Up,05/22/2025 01:33:31:171
8379,OMCTPR,Down,05/22/2025 01:34:52:750
8380,111CTPR,Up,05/22/2025 01:35:06:828
8381,111BTPR,Up,05/22/2025 01:36:07:718
8382,103NDKR,Down,05/22/2025 01:36:19:046
8383,103RDKR,Up,05/22/2025 01:36:22:734
8384,109NDKR,Down,05/22/2025 01:37:02:671
8385,109RDKR,Up,05/22/2025 01:37:05:718
8386,107NDKR,Down,05/22/2025 01:37:09:921
8387,107RDKR,Up,05/22/2025 01:37:12:953
8388,104NDKR,Down,05/22/2025 01:39:47:359
8389,104RDKR,Up,05/22/2025 01:39:50:234
8390,UD_GDRA.BPAC_VPR1,Up,05/22/2025 01:42:48:234
8391,UD_GDRA.BPAC_VPR2,Up,05/22/2025 01:42:48:265
8392,UD_GDRA.BPAC_VPR,Up,05/22/2025 01:42:49:453
8393,UD_GDRA.BPAC_VPR1,Down,05/22/2025 01:48:46:953
8394,UD_GDRA.BPAC_VPR2,Down,05/22/2025 01:48:47:187
8395,UD_GDRA.BPAC_VPR,Down,05/22/2025 01:48:48:234
8396,103RDKR,Down,05/22/2025 01:54:07:453
8397,103NDKR,Up,05/22/2025 01:54:10:890
8398,105NDKR,Down,05/22/2025 01:54:13:765
8399,105RDKR,Up,05/22/2025 01:54:17:078
8400,C02TPR,Down,05/22/2025 02:14:16:359
8401,H02TPR,Down,05/22/2025 02:14:27:375
8402,C02TPR,Up,05/22/2025 02:14:29:921
8403,15TPR,Down,05/22/2025 02:14:40:468
8404,H02TPR,Up,05/22/2025 02:14:43:125
8405,UD_GDRA.BPAC_VPR2,Up,05/22/2025 02:14:52:781
8406,UD_GDRA.BPAC_VPR1,Up,05/22/2025 02:14:52:968
8407,03_13TPR,Down,05/22/2025 02:14:53:703
8408,UD_GDRA.BPAC_VPR,Up,05/22/2025 02:14:54:015
8409,15TPR,Up,05/22/2025 02:14:56:343
8410,102BTPR,Down,05/22/2025 02:15:16:906
8411,03_13TPR,Up,05/22/2025 02:15:19:625
8412,104BTPR,Down,05/22/2025 02:15:26:953
8413,102BTPR,Up,05/22/2025 02:15:29:906
8414,104ATPR,Down,05/22/2025 02:15:40:500
8415,104BTPR,Up,05/22/2025 02:15:43:656
8416,01CTPR,Down,05/22/2025 02:15:57:156
8417,01TPR,Down,05/22/2025 02:15:57:171
8418,104ATPR,Up,05/22/2025 02:16:00:562
8419,104RDKR,Down,05/22/2025 02:16:23:250
8420,104NDKR,Up,05/22/2025 02:16:26:187
8421,01BTPR,Down,05/22/2025 02:17:10:984
8422,01CTPR,Up,05/22/2025 02:17:18:140
8423,104BTPR,Down,05/22/2025 02:17:50:859
8424,OMATPR,Up,05/22/2025 02:18:32:421
8425,102BTPR,Down,05/22/2025 02:18:38:781
8426,03_13TPR,Down,05/22/2025 02:18:52:406
8427,111NDKR,Down,05/22/2025 02:19:01:546
8428,111RDKR,Up,05/22/2025 02:19:04:406
8429,15TPR,Down,05/22/2025 02:19:20:765
8430,OMBTPR,Up,05/22/2025 02:19:23:078
8431,UD_GDRA.BPAC_VPR1,Down,05/22/2025 02:19:25:109
8432,UD_GDRA.BPAC_VPR2,Down,05/22/2025 02:19:25:343
8433,UD_GDRA.BPAC_VPR,Down,05/22/2025 02:19:26:437
8434,H02TPR,Down,05/22/2025 02:19:35:390
8435,C02TPR,Down,05/22/2025 02:19:49:187
8436,OMCTPR,Up,05/22/2025 02:20:04:453
8437,OMTPR,Up,05/22/2025 02:20:04:546
8438,104BTPR,Up,05/22/2025 02:20:28:734
8439,102BTPR,Up,05/22/2025 02:20:37:953
8440,03_13TPR,Up,05/22/2025 02:21:00:031
8441,15TPR,Up,05/22/2025 02:21:12:953
8442,H02TPR,Up,05/22/2025 02:21:25:984
8443,C02TPR,Up,05/22/2025 02:21:37:015
8444,01ATPR,Down,05/22/2025 02:25:38:062
8445,01ATPR,Up,05/22/2025 02:25:38:109
